Title,Author,Published Date,Description
2020-2021,Love Write,['2020'],
Activitybook,Simple Love,['2021'],
2020-2021,Love Write,['2020'],
2019 - 2020,Love Write,['2019'],
2020,Love Write,['2019'],
Headlong Hall,Thomas Love Peacock,"['May 30, 2006', 'Mar 23, 2018', 'November 3, 2006', '2021', '1893', '1837', '2018', '2011', 'August 9, 2007', 'February 28, 2005', '2020', 'September 1, 2003', '1997', 'Oct 01, 2010', '1822', '2022', 'February 1, 2003', 'Jul 08, 2019', '2019', 'March 30, 2006', 'July 10, 2003', 'June 30, 2004', '1816', '1905', '1934', '1111-01-01', 'May 21, 2019', '1891']",
Crotchet Castle,Thomas Love Peacock,"['January 2003', '2021', '2016', '1831', 'March 30, 2006', 'April 12, 2007', 'May 30, 2006', '2004', 'January 3, 2007', '2018', 'November 3, 2006', '2009', '2010', '1900', 'May 2002', '2006', 'July 10, 2003', '1887', '2020', '1893', '2007', 'January 1, 2006', '2008', 'Nov 27, 2019', 'Mar 23, 2018', 'May 1, 2002', '2019', '1964']",
Nightmare Abbey,Thomas Love Peacock,"['1971', '2017', '2021', 'March 8, 1999', '2022', '1964', 'May 04, 2016', '1992', '2011', '1936', '2005', 'March 30, 2006', '2016', '1995', 'May 30, 2006', '2004', '2014-07-07', 'April 9, 2007', 'June 30, 2004', 'Sep 29, 2016', 'Sep 30, 2015', '2018', 'November 3, 2006', '2009', 'Aug 25, 2018', '1923', 'August 14, 2006', 'Apr 15, 2014', 'Nov 29, 2015', 'January 30, 1996', 'July 10, 2003', '2020', '2007', '2008', '2015', 'May 30, 2005', 'May 24, 2017', 'August 9, 2007', 'July 15, 2002', '2012', '1818', 'Mar 23, 2018', '1899', '1891', '2019', '1947', '1892', '1819', 'Dec 18, 2013', 'November 13, 2007', 'February 28, 2004', '1967']",
Love Insurance,Earl Derr Biggers,"['Feb 21, 2017', '1914-01-01', '2020', 'Feb 19, 2017', '2017', '2018', '2022', 'Jan 19, 2018', '2019', '2021', '1914', 'July 2003', 'May 21, 2021', '2014', '1994']",
Women in Love,David Herbert Lawrence,"['Aug 06, 2016', 'May 25, 2017', 'May 01, 2013', '1972-12', '2017-02-03', '2011', '1936', 'Oct 28, 2019', '1968', '1963-01-01', '1969', '1963', '1976', '1950', 'Jan 01, 2012', '2010', '2019-03-08', '1973', '1998', '2007', '2008', 'Sep 12, 2016', 'May 25, 2000', '1970', 'December 2002', '2012', '1964-01-01', 'January 1, 1995', '1969-12', '1971-01-01', '1987', 'March 29, 1990', '1979-01-01', '1996-03', 'February 2002', 'February 2006', '2017', '1983', '1964', 'September 29, 2007', '1994', '1937', 'January 1, 2007', 'January 1916', 'Jan 01, 1996', '1993', 'May 2, 2002', '2014', 'November 3, 2006', '2009', 'June 1982', 'Feb 23, 2017', '/1993', '1877-01-01', '1982', '2003', '1927', 'May 20, 2014', '1949', 'April 1984', 'May 2000', 'August 7, 2000', 'Oct 01, 2000', '2019', 'Jun 27, 2019', '1996', 'August 1, 2005', '1980', 'June 1940', '1971', '2021', 'November 2, 2006', '????', '2007-12-24', '2016-05-27', '1940', '2004', 'Feb 22, 2017', 'Sep 02, 2017', '2018', '1960', '1954', 'January 30, 1994', '1949-01-01', '1999', '1988', '1974', '1960-01-01', 'March 25, 2008', '1969-01-01', 'xxxx', '2000-01-01', '1922', '2002', '2013', '1967', '1966', 'May 1992', '2022', '1992', '1928', '2016', '1995', 'December 19, 2006', 'Mar 09, 2007', '1921', '1920', 'June 4, 1992', 'June 2, 1997', '2000', '2017-11-09', '1978', 'December 1, 1995', '1991', '1989', 'Jan 14, 2020', 'September 6, 2007', 'September 25, 2007', '2020', 'January 7, 1999', 'Apr 01, 2019', 'July 27, 2000', 'March 1995', '1995-01-01', 'November 18, 1976', 'January 2000', '1932', '1979', 'June 22, 2007', '1922-01-01', '2003-07-01', 'Apr 05, 2016', '1981']",
